Team,Conference,Year,Target,Win %,Off.Rank,Def.Rank,Avg.Turnover.Margin.per.Game,Points.Per.Game,Avg.Points.per.Game.Allowed,Rush.Yards.Per.Game.Allowed,Rushing.Yards.per.Game,Pass.Yards.Per.Game.Allowed,Pass.Yards.Per.Game,Off.Yards.Play,Yards.Play.Allowed,X3rd.Percent,Opponent.3rd.Percent,Redzone.Points,Redzone.Points.Allowed
Buffalo,MAC,2014,0,0.45454545454545453,38,62,-0.27,32.3,31.5,175.2,178.6,222.5,259.5,5.95,5.86,0.457,0.379,0.74,0.86
BYU,FBS Independent,2014,0,0.6153846153846154,26,56,-0.08,37.1,27.5,121.8,181.8,269.7,278.7,5.7,4.93,0.434,0.381,0.881,0.84
California,Pac-12,2014,0,0.4166666666666667,13,121,-0.25,38.3,39.8,144.6,149.2,367.2,346.0,6.09,6.27,0.461,0.419,0.882,0.823
Central Mich.,MAC,2014,0,0.5384615384615384,67,29,-0.38,26.9,25.2,122.9,155.2,232.5,242.8,5.84,5.44,0.435,0.403,0.808,0.809
Cincinnati,AAC,2014,0,0.6923076923076923,27,96,0.15,34.0,27.2,183.7,156.5,255.4,303.6,6.33,5.98,0.412,0.441,0.902,0.731
Clemson,ACC,2014,1,0.7692307692307693,58,1,0.46,30.8,16.7,103.4,146.5,157.4,261.8,5.36,4.03,0.419,0.274,0.731,0.741
Colorado,Pac-12,2014,0,0.16666666666666666,37,111,-0.83,28.5,39.0,204.8,154.6,256.2,284.6,5.29,6.55,0.401,0.4,0.889,0.893
Duke,ACC,2014,0,0.6923076923076923,66,67,0.46,32.4,21.8,192.9,181.8,206.8,216.5,5.38,5.28,0.418,0.344,0.875,0.882
East Carolina,AAC,2014,0,0.6153846153846154,5,37,-0.31,35.8,25.8,111.8,161.1,255.5,371.9,6.48,5.1,0.469,0.342,0.838,0.846
Eastern Mich.,MAC,2014,0,0.16666666666666666,121,118,-1.5,15.2,40.9,223.9,137.8,274.8,151.8,4.46,6.75,0.356,0.473,0.704,0.763
FIU,C-USA,2014,0,0.3333333333333333,120,35,0.92,23.0,24.8,160.4,125.2,203.3,168.0,4.33,5.38,0.321,0.359,0.818,0.692
Fla. Atlantic,C-USA,2014,0,0.25,101,110,-0.25,24.0,34.4,222.1,163.6,238.7,199.5,5.39,6.23,0.385,0.466,0.75,0.824
Florida,SEC,2014,0,0.5833333333333334,93,15,0.5,30.3,21.1,116.2,187.7,213.6,179.9,5.24,4.55,0.365,0.388,0.909,0.784
Florida St.,ACC,2014,1,0.9285714285714286,35,61,-0.43,33.7,25.6,170.1,138.1,226.8,303.3,6.39,5.51,0.457,0.439,0.915,0.75
Georgia,SEC,2014,1,0.7692307692307693,28,17,1.23,41.3,20.7,166.8,257.8,170.4,199.9,6.79,4.84,0.497,0.395,0.851,0.775
Georgia St.,Sun Belt,2014,0,0.08333333333333333,85,116,-1.83,22.7,43.3,303.4,96.3,193.7,279.0,5.39,6.57,0.465,0.519,0.824,0.912
Georgia Tech,ACC,2014,1,0.7857142857142857,19,79,0.79,37.9,25.7,167.6,342.1,243.7,134.4,6.72,6.32,0.579,0.461,0.808,0.792
Houston,AAC,2014,0,0.6153846153846154,55,20,0.62,29.8,20.6,143.3,183.8,200.1,230.2,5.7,4.88,0.409,0.387,0.754,0.864
Idaho,Sun Belt,2014,0,0.09090909090909091,53,112,-1.0,25.0,37.3,246.2,141.9,216.5,275.5,5.21,6.93,0.417,0.459,0.72,0.85
Illinois,Big Ten,2014,0,0.46153846153846156,94,109,-0.23,25.9,34.0,239.2,117.5,217.2,249.8,5.41,6.01,0.36,0.423,0.74,0.9
Indiana,Big Ten,2014,0,0.3333333333333333,61,93,-0.17,25.1,32.8,182.7,263.6,251.1,141.4,5.7,5.85,0.304,0.361,0.824,0.956
